CreatedDate,pm25_Lakshmi K: Kitchen,pm10_Lakshmi K: Kitchen,aqi_Lakshmi K: Kitchen,co2_Lakshmi K: Kitchen,voc_Lakshmi K: Kitchen,temperature_Lakshmi K: Kitchen,humidity_Lakshmi K: Kitchen,battery_Lakshmi K: Kitchen
2024-07-02 00:00:00,33.0000,39.0000,55,450.0000,506.0000,33.0,60.0000,100
2024-07-02 00:15:00,33.0000,39.0000,55,480.0000,568.0000,33.0,59.0000,100
2024-07-02 00:30:00,33.0000,40.0000,55,460.0000,557.0000,33.0,59.0000,100
2024-07-02 00:45:00,35.0000,41.0000,58,450.0000,508.0000,33.0,59.0000,100
2024-07-02 01:00:00,34.0000,41.0000,57,441.0000,485.0000,33.0,60.0000,100
2024-07-02 01:15:00,31.0000,37.0000,52,448.0000,485.0000,33.0,59.0000,100
2024-07-02 01:30:00,30.0000,35.0000,50,447.0000,451.0000,33.0,59.0000,100
2024-07-02 01:45:00,30.0000,35.0000,50,441.0000,429.0000,33.0,59.0000,100
2024-07-02 02:00:00,29.0000,34.0000,48,441.0000,425.0000,33.0,59.0000,100
2024-07-02 02:15:00,28.0000,33.0000,47,444.0000,430.0000,33.0,60.0000,100
2024-07-02 02:30:00,27.0000,32.0000,45,448.0000,423.0000,33.0,59.0000,100
2024-07-02 02:45:00,26.0000,31.0000,43,456.0000,415.0000,33.0,58.0000,100
2024-07-02 03:00:00,28.0000,33.0000,47,450.0000,391.0000,33.0,58.0000,100
2024-07-02 03:15:00,26.0000,31.0000,43,456.0000,403.0000,33.0,57.0000,100
2024-07-02 03:30:00,28.0000,33.0000,47,452.0000,387.0000,33.0,58.0000,100
2024-07-02 03:45:00,27.0000,32.0000,45,453.0000,401.0000,33.0,58.0000,100
2024-07-02 04:00:00,26.0000,30.0000,43,466.0000,413.0000,33.0,56.0000,100
2024-07-02 04:15:00,27.0000,32.0000,45,453.0000,392.0000,33.0,57.0000,100
2024-07-02 04:30:00,24.0000,29.0000,40,465.0000,413.0000,33.0,56.0000,100
2024-07-02 04:45:00,25.0000,30.0000,42,473.0000,430.0000,33.0,56.0000,100
2024-07-02 05:00:00,23.0000,28.0000,38,476.0000,450.0000,33.0,56.0000,100
2024-07-02 05:15:00,25.0000,30.0000,42,466.0000,432.0000,33.0,56.0000,100
2024-07-02 05:30:00,24.0000,29.0000,40,463.0000,431.0000,33.0,56.0000,100
2024-07-02 05:45:00,24.0000,28.0000,40,468.0000,444.0000,33.0,56.0000,100
2024-07-02 06:00:00,27.0000,32.0000,45,572.0000,891.0000,33.0,56.0000,100
2024-07-02 06:15:00,32.0000,37.0000,53,737.0000,602.0000,33.0,59.0000,100
2024-07-02 06:30:00,31.0000,36.0000,52,474.0000,428.0000,33.0,58.0000,100
