CreatedDate,pm25_Lakshmi K: Kitchen,pm10_Lakshmi K: Kitchen,aqi_Lakshmi K: Kitchen,co2_Lakshmi K: Kitchen,voc_Lakshmi K: Kitchen,temperature_Lakshmi K: Kitchen,humidity_Lakshmi K: Kitchen,battery_Lakshmi K: Kitchen
2024-07-04 19:00:00,20.5000,26.0000,34,455.0000,199.5000,32.0,60.0000,100
2024-07-04 20:00:00,18.5000,23.5000,31,563.5000,368.0000,32.0,63.0000,100
2024-07-04 21:00:00,20.5000,25.5000,34,684.0000,564.5000,32.0,63.0000,100
2024-07-04 22:00:00,23.5000,28.0000,39,810.0000,587.5000,33.0,63.5000,100
2024-07-04 23:00:00,20.5000,25.5000,34,652.0000,395.0000,32.0,61.0000,100
2024-07-05 00:00:00,23.0000,27.5000,38,503.0000,307.0000,32.5,58.0000,100
2024-07-05 01:00:00,24.5000,29.5000,41,498.0000,276.0000,32.0,58.0000,100
2024-07-05 02:00:00,21.0000,26.0000,35,501.5000,245.0000,32.0,58.0000,100
2024-07-05 03:00:00,15.0000,19.0000,25,474.5000,179.0000,32.0,58.5000,100
2024-07-05 04:00:00,14.5000,18.5000,24,471.5000,181.0000,32.0,58.0000,100
2024-07-05 05:00:00,23.0000,28.5000,38,472.0000,202.0000,32.0,58.0000,100
2024-07-05 06:00:00,49.0000,61.0000,82,642.0000,318.0000,32.0,59.5000,100
2024-07-05 07:00:00,39.5000,48.5000,66,501.5000,293.0000,32.0,62.0000,100
2024-07-05 08:00:00,37.0000,45.5000,62,457.0000,317.0000,32.0,62.5000,100
2024-07-05 09:00:00,49.0000,60.5000,82,492.0000,251.5000,32.0,62.5000,100
2024-07-05 10:00:00,51.5000,64.0000,86,490.5000,221.0000,32.0,64.0000,100
2024-07-05 11:00:00,74.5000,91.0000,148,447.5000,228.5000,32.0,64.0000,100
2024-07-05 12:00:00,64.0000,80.0000,113,437.0000,185.5000,32.0,64.5000,100
2024-07-05 13:00:00,49.5000,61.0000,82,424.0000,141.5000,32.0,65.0000,100
2024-07-05 14:00:00,42.0000,51.5000,70,418.0000,113.0000,32.0,64.0000,100
2024-07-05 15:00:00,27.5000,33.5000,46,416.5000,105.0000,32.0,63.0000,100
2024-07-05 16:00:00,17.5000,21.5000,29,414.5000,100.0000,32.0,61.5000,100
2024-07-05 17:00:00,10.0000,13.0000,17,415.5000,93.5000,32.0,61.0000,100
2024-07-05 18:00:00,7.5000,10.0000,12,416.5000,104.0000,32.0,61.5000,100
2024-07-05 19:00:00,10.5000,13.5000,18,422.0000,135.5000,31.5,62.0000,100
2024-07-05 20:00:00,17.5000,22.0000,29,435.5000,168.5000,31.5,62.0000,100
2024-07-05 21:00:00,17.0000,22.0000,28,443.5000,180.0000,31.0,62.5000,100
