CreatedDate,pm25_Lakshmi K: Kitchen,pm10_Lakshmi K: Kitchen,aqi_Lakshmi K: Kitchen,co2_Lakshmi K: Kitchen,voc_Lakshmi K: Kitchen,temperature_Lakshmi K: Kitchen,humidity_Lakshmi K: Kitchen,battery_Lakshmi K: Kitchen
2024-07-03 05:00:00,25.0000,30.0000,42,459.0000,399.0000,33.0,59.0000,100
2024-07-03 05:30:00,23.0000,28.0000,38,464.0000,472.0000,33.0,58.0000,100
2024-07-03 06:00:00,21.0000,26.0000,35,462.0000,449.0000,33.0,57.0000,100
2024-07-03 06:30:00,22.0000,27.0000,37,538.0000,586.0000,33.0,57.0000,100
2024-07-03 07:00:00,24.0000,29.0000,40,459.0000,399.0000,33.0,57.0000,100
2024-07-03 07:30:00,34.0000,41.0000,57,655.0000,777.0000,33.0,58.0000,100
2024-07-03 08:00:00,33.0000,39.0000,55,609.0000,653.0000,34.0,57.0000,100
2024-07-03 08:30:00,37.0000,46.0000,62,547.0000,964.0000,33.0,58.0000,100
2024-07-03 09:00:00,43.0000,52.0000,72,455.0000,495.0000,33.0,58.0000,100
2024-07-03 09:30:00,61.0000,73.0000,103,508.0000,530.0000,33.0,59.0000,100
2024-07-03 10:00:00,33.0000,40.0000,55,504.0000,374.0000,33.0,59.0000,100
2024-07-03 10:30:00,16.0000,21.0000,27,456.0000,708.0000,33.0,59.0000,100
2024-07-03 11:00:00,14.0000,18.0000,23,433.0000,248.0000,33.0,58.0000,100
2024-07-03 11:30:00,15.0000,19.0000,25,432.0000,249.0000,33.0,58.0000,100
2024-07-03 12:00:00,18.0000,23.0000,30,415.0000,252.0000,33.0,58.0000,100
2024-07-03 12:30:00,64.0000,80.0000,113,442.0000,540.0000,33.0,61.0000,100
2024-07-03 13:00:00,65.0000,81.0000,117,446.0000,568.0000,33.0,61.0000,100
2024-07-03 13:30:00,54.0000,68.0000,90,443.0000,494.0000,33.0,61.0000,100
2024-07-03 14:00:00,44.0000,54.0000,73,433.0000,320.0000,33.0,61.0000,100
2024-07-03 14:30:00,33.0000,39.0000,55,428.0000,314.0000,33.0,60.0000,100
2024-07-03 15:00:00,29.0000,34.0000,48,422.0000,313.0000,33.0,60.0000,100
2024-07-03 15:30:00,11.0000,15.0000,18,411.0000,213.0000,33.0,60.0000,100
2024-07-03 16:00:00,8.0000,9.0000,13,415.0000,273.0000,33.0,59.0000,100
2024-07-03 16:30:00,5.0000,6.0000,8,417.0000,263.0000,33.0,59.0000,100
2024-07-03 17:00:00,4.0000,5.0000,7,424.0000,359.0000,33.0,58.0000,100
2024-07-03 17:30:00,5.0000,6.0000,8,426.0000,362.0000,33.0,58.0000,100
2024-07-03 18:00:00,5.0000,6.0000,8,441.0000,466.0000,33.0,57.0000,100
2024-07-03 18:30:00,6.0000,7.0000,10,451.0000,490.0000,33.0,57.0000,100
2024-07-03 19:00:00,8.0000,10.0000,13,466.0000,900.0000,33.0,57.0000,100
2024-07-03 19:30:00,10.0000,12.0000,17,463.0000,767.0000,33.0,57.0000,100
2024-07-03 20:00:00,11.0000,14.0000,18,470.0000,644.0000,33.0,57.0000,100
2024-07-03 20:30:00,12.0000,16.0000,20,464.0000,889.0000,33.0,58.0000,100
2024-07-03 21:00:00,14.0000,17.0000,23,469.0000,617.0000,32.0,58.0000,100
